Prediction,Outcome
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,0
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Likely,1
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,0
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Unlikely,1
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,0
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very likely,1
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,0
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
Very unlikely,1
