ID,Park,Word_count,Sentiment_value,Polarity,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1,TMNP,5,-1,Negative,0,0,0,0,1,1,0,0
2,KNP,0,0,Neutral,0,0,0,0,0,0,0,0
3,KNP,18,3,Positive,0,2,0,0,1,0,1,1
4,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
5,KNP,9,-1,Negative,1,0,0,1,0,1,0,0
6,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
7,KNP,19,2,Positive,0,2,0,0,2,0,0,1
8,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
9,KNP,4,-1,Negative,1,0,0,0,0,0,0,0
10,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
11,KNP,3,1,Positive,0,0,0,0,1,0,0,0
12,KNP,20,3,Positive,0,2,0,0,3,0,2,1
13,KNP,9,2,Positive,0,1,0,0,2,0,0,0
14,KNP,14,0,Neutral,0,0,0,0,0,0,0,0
15,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
16,KNP,10,0,Neutral,0,0,0,0,0,0,0,0
17,KNP,7,1,Positive,0,1,0,0,1,0,1,0
18,KNP,4,-1,Negative,0,0,0,0,0,0,1,0
19,KNP,3,-1,Negative,0,0,0,0,0,0,1,0
20,KNP,3,-1,Negative,0,0,0,0,0,0,1,0
21,KNP,43,2,Positive,0,0,0,0,2,0,1,1
22,KNP,1,0,Neutral,0,0,0,0,0,0,0,0
23,KNP,16,2,Positive,1,2,1,0,3,0,2,2
24,KNP,11,1,Positive,0,1,0,0,1,0,0,1
25,KNP,9,1,Positive,0,1,0,0,0,0,0,0
26,KNP,7,2,Positive,0,2,0,0,2,0,1,1
27,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
28,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
29,KNP,16,2,Positive,0,1,0,0,0,0,0,0
30,KNP,6,1,Positive,0,1,0,0,1,0,0,0
31,KNP,7,1,Positive,0,0,0,0,1,0,0,0
32,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
33,KNP,9,0,Neutral,0,0,0,0,0,0,0,0
34,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
35,KNP,2,0,Neutral,0,0,0,0,0,0,0,1
36,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
37,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
38,KNP,6,2,Positive,0,1,1,0,1,0,0,0
39,KNP,7,0,Neutral,1,1,1,1,1,1,1,1
40,KNP,12,0,Neutral,0,0,0,0,0,0,0,0
41,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
42,KNP,12,0,Neutral,0,0,0,0,0,0,1,0
43,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
44,KNP,6,0,Neutral,0,0,0,0,0,0,0,0
45,KNP,9,-1,Negative,0,0,0,0,0,0,0,0
46,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
47,KNP,8,0,Neutral,0,0,0,0,0,0,0,0
48,KNP,7,0,Neutral,0,0,0,0,0,0,0,0
49,KNP,9,2,Positive,1,1,1,0,2,0,1,1
50,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
51,KNP,6,1,Positive,0,1,0,0,1,0,0,1
52,KNP,1,0,Neutral,0,0,0,0,0,0,0,0
53,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
54,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
55,KNP,3,-1,Negative,0,0,1,1,0,1,0,0
56,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
57,KNP,12,1,Positive,0,0,0,0,1,0,0,0
58,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
59,KNP,6,0,Neutral,0,0,0,0,0,0,0,0
60,KNP,12,1,Positive,0,0,0,0,0,0,0,0
61,KNP,11,-1,Negative,0,0,0,0,0,0,1,0
62,KNP,4,-1,Negative,0,0,0,0,0,0,1,0
63,KNP,5,-1,Negative,0,0,0,1,0,0,1,0
64,KNP,4,-1,Negative,0,0,0,0,0,0,1,0
65,KNP,6,0,Neutral,0,0,0,0,0,0,0,0
66,KNP,1,0,Neutral,0,0,0,0,0,0,0,0
67,KNP,11,1,Positive,0,0,0,0,0,0,0,0
68,KNP,0,0,Neutral,0,0,0,0,0,0,0,0
69,KNP,4,1,Positive,0,1,0,0,0,0,0,0
70,KNP,3,1,Positive,0,0,0,0,1,0,0,0
71,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
72,KNP,7,0,Neutral,0,0,0,0,0,0,0,0
73,KNP,12,1,Positive,0,1,0,0,1,0,0,0
74,KNP,6,2,Positive,0,1,0,1,1,0,0,1
75,KNP,11,0,Neutral,0,0,0,0,0,0,0,0
76,KNP,2,1,Positive,0,1,0,0,1,0,1,1
77,KNP,6,0,Neutral,0,0,0,0,0,0,0,0
78,KNP,7,2,Positive,0,1,0,1,1,0,1,0
79,KNP,6,0,Neutral,0,0,0,0,0,0,0,1
80,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
81,KNP,15,1,Positive,0,0,0,0,0,0,0,0
82,KNP,1,0,Neutral,0,0,0,0,0,0,0,0
83,KNP,14,0,Neutral,0,0,0,0,0,0,0,0
84,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
85,KNP,5,1,Positive,0,0,0,0,0,0,0,0
86,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
87,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
88,KNP,3,1,Positive,0,0,0,0,0,0,0,0
89,KNP,7,-1,Negative,0,0,0,1,0,1,0,0
90,KNP,12,2,Positive,1,1,1,0,1,0,0,0
91,KNP,3,1,Positive,0,1,0,0,0,0,0,0
92,KNP,3,1,Positive,0,0,0,0,1,0,0,1
93,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
94,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
95,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
96,KNP,7,1,Positive,1,1,1,0,1,0,1,1
97,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
98,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
99,KNP,14,0,Neutral,0,0,0,0,0,0,0,0
100,KNP,4,1,Positive,0,1,0,0,0,0,0,0
101,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
102,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
103,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
104,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
105,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
106,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
107,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
108,TMNP,10,3,Positive,0,2,0,0,3,0,1,1
109,TMNP,7,0,Neutral,0,0,0,0,0,0,0,0
110,TMNP,5,1,Positive,0,1,0,0,1,0,1,1
111,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
112,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
113,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
114,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
115,TMNP,14,0,Neutral,0,0,0,0,1,0,0,0
116,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
117,TMNP,30,7,Positive,1,4,0,0,6,2,2,3
118,TMNP,30,2,Positive,0,1,0,0,1,0,0,1
119,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
120,TMNP,6,0,Neutral,0,1,0,0,0,0,0,0
121,TMNP,11,-1,Negative,0,0,0,1,0,1,0,0
122,TMNP,12,1,Positive,0,0,0,0,0,0,0,0
123,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
124,TMNP,2,0,Neutral,0,0,0,0,0,0,1,0
125,TMNP,7,-1,Negative,1,0,0,0,0,1,0,0
126,TMNP,2,1,Positive,0,0,0,0,0,0,0,0
127,TMNP,6,2,Positive,0,1,0,0,2,0,0,0
128,TMNP,4,2,Positive,0,2,0,0,2,0,1,2
129,TMNP,1,1,Positive,0,1,0,0,0,0,0,1
130,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
131,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
132,TMNP,6,1,Positive,0,0,0,0,0,0,0,0
133,TMNP,10,2,Positive,0,2,0,0,2,0,2,2
134,TMNP,7,0,Neutral,0,0,0,0,0,0,0,0
135,TMNP,10,2,Positive,0,2,0,0,2,0,2,2
136,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
137,TMNP,5,2,Positive,0,2,0,0,2,0,2,2
138,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
139,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
140,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
141,TMNP,11,1,Positive,0,0,0,0,1,0,0,0
142,TMNP,2,0,Neutral,0,0,0,0,0,0,0,0
143,TMNP,8,0,Neutral,0,0,0,0,0,0,0,0
144,GRNP,5,-1,Negative,0,0,0,1,0,0,0,0
145,GRNP,5,0,Neutral,0,0,0,0,0,0,0,0
146,GRNP,4,-1,Negative,1,0,0,1,0,1,1,0
147,GRNP,12,1,Positive,0,0,0,0,1,0,0,0
148,GRNP,9,2,Positive,0,2,0,0,2,0,1,1
149,GRNP,5,2,Positive,0,1,0,0,1,0,0,0
150,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
151,GRNP,4,1,Positive,0,1,0,0,1,0,0,0
152,GRNP,4,0,Neutral,0,0,0,0,1,0,0,0
153,KNP,4,2,Positive,0,0,0,0,2,0,0,0
154,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
155,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
156,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
157,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
158,AENP,9,1,Positive,0,0,0,0,0,0,0,0
159,AENP,13,0,Neutral,0,0,0,0,0,0,0,0
160,AENP,12,-1,Negative,0,0,0,0,0,1,0,0
161,KNP,8,0,Neutral,0,0,0,0,0,0,0,0
162,KNP,13,0,Neutral,0,0,0,0,0,0,0,0
163,KNP,3,1,Positive,0,0,0,0,1,0,0,0
164,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
165,KNP,7,3,Positive,0,3,0,1,2,0,0,2
166,KNP,6,1,Positive,0,1,0,0,0,0,0,0
167,KNP,7,1,Positive,0,1,0,0,0,0,0,0
168,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
169,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
170,KNP,2,1,Positive,0,0,0,0,1,0,0,0
171,KNP,1,0,Neutral,0,0,0,0,0,0,0,0
172,KNP,21,0,Neutral,0,0,0,0,0,0,1,0
173,KNP,7,0,Neutral,0,0,0,0,0,0,0,0
174,KNP,6,-1,Negative,0,0,1,0,0,0,0,0
175,KNP,7,-1,Negative,0,0,1,0,0,0,0,0
176,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
177,KNP,9,-1,Negative,1,0,1,0,0,0,0,0
178,KNP,2,0,Neutral,0,0,0,0,0,0,0,0
179,KNP,0,0,Neutral,0,0,0,0,0,0,0,0
180,KNP,12,1,Positive,0,1,0,0,0,0,0,1
181,KNP,2,-1,Negative,0,0,0,0,0,0,1,0
182,KNP,5,-1,Negative,1,0,0,1,0,0,0,0
183,KNP,16,2,Positive,0,0,0,0,0,0,0,0
184,KNP,19,2,Positive,0,0,0,0,0,1,0,0
185,KNP,24,1,Positive,0,0,0,0,0,0,0,0
186,KNP,4,-1,Negative,0,0,0,0,0,1,0,0
187,KNP,6,-1,Negative,0,0,0,0,0,0,0,0
188,KNP,7,-1,Negative,0,0,0,0,0,0,0,0
189,KNP,4,0,Neutral,0,0,0,0,0,0,0,0
190,KNP,2,-1,Negative,0,0,1,0,0,0,0,0
191,KNP,32,0,Neutral,0,0,0,0,0,0,0,0
192,KNP,25,0,Neutral,0,0,0,0,0,0,0,0
193,KNP,2,0,Neutral,0,0,0,0,0,1,0,0
194,KNP,20,0,Neutral,0,0,0,0,0,0,0,0
195,KNP,7,2,Positive,0,0,0,1,2,0,1,0
196,KNP,22,0,Neutral,0,0,0,0,0,0,0,0
197,KNP,10,0,Neutral,0,0,0,0,0,0,0,0
198,KNP,4,-1,Negative,0,0,0,0,0,0,1,0
199,KNP,4,1,Positive,0,0,0,1,0,0,0,0
200,KNP,8,1,Positive,0,1,0,0,1,0,1,1
201,KNP,4,0,Neutral,0,0,0,1,0,0,0,0
202,KNP,14,0,Neutral,0,0,0,4,0,1,0,0
203,KNP,5,0,Neutral,0,0,0,0,0,0,0,0
204,KNP,26,1,Positive,0,0,0,0,0,1,0,0
205,KNP,23,1,Positive,0,0,1,1,1,0,0,1
206,KNP,35,3,Positive,0,0,0,0,0,1,0,0
207,KNP,14,-1,Negative,0,0,0,0,0,0,1,0
208,KNP,19,1,Positive,1,1,1,1,2,1,1,1
209,KNP,17,0,Neutral,0,0,0,0,0,0,0,0
210,KNP,3,0,Neutral,0,0,0,0,0,0,0,0
211,KNP,10,0,Neutral,0,0,0,0,0,0,0,0
212,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
213,TMNP,7,-1,Negative,0,0,0,0,0,0,1,0
214,TMNP,7,0,Neutral,0,0,0,0,0,0,0,0
215,TMNP,8,1,Positive,0,1,0,0,2,0,0,1
216,TMNP,1,0,Neutral,0,0,0,0,0,0,0,0
217,TMNP,12,1,Positive,0,0,0,0,0,1,0,0
218,TMNP,3,1,Positive,0,1,0,0,0,0,0,0
219,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
220,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
221,TMNP,7,1,Positive,0,0,0,0,1,0,0,0
222,TMNP,14,0,Neutral,0,1,0,1,1,0,0,0
223,TMNP,26,0,Neutral,0,0,0,0,1,0,0,0
224,TMNP,0,0,Neutral,0,0,0,0,0,0,0,0
225,TMNP,4,0,Neutral,0,0,0,0,0,0,0,0
226,TMNP,4,1,Positive,0,0,0,0,1,0,0,1
227,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
228,TMNP,4,1,Positive,0,0,0,0,0,0,0,0
229,TMNP,0,0,Neutral,0,0,0,0,0,0,0,0
230,TMNP,8,0,Neutral,0,0,0,0,0,0,0,0
231,TMNP,3,0,Neutral,0,0,0,0,1,0,0,0
232,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
233,TMNP,19,-1,Negative,0,1,0,0,0,1,0,0
234,TMNP,3,0,Neutral,0,0,0,0,0,0,0,0
235,TMNP,5,0,Neutral,0,0,0,0,0,0,0,0
